TermTest,FinalExam,GradeChange,Modification,Q3,Q7,Tipsheets
88,83,-5,partial,yes,yes,no
86,91,5,no,yes,yes,yes
81,80,-1,yes,yes,yes,yes
83,76,-7,yes,yes,yes,no
48,77,29,no,yes,yes,yes
62,87,25,yes,yes,no,no
58,69,11,yes,yes,yes,yes
73,91,18,yes,yes,yes,yes
60,64,4,no,yes,yes,no
90,93,3,yes,yes,yes,no
68,62,-6,partial,yes,yes,yes
53,72,19,no,yes,yes,yes
82,85,3,no,yes,yes,yes
69,77,8,no,yes,yes,yes
73,85,12,yes,yes,yes,yes
69,89,20,no,yes,yes,no
53,48,-5,yes,yes,yes,no
77,92,15,no,yes,yes,yes
37,62,25,partial,yes,yes,yes
83,92,9,yes,yes,yes,yes
58,87,29,no,no,no,yes
61,79,18,no,yes,no,no
73,74,1,partial,yes,yes,yes
67,83,16,yes,yes,yes,yes
68,77,9,yes,yes,yes,yes
100,98,-2,yes,yes,yes,yes
85,89,4,partial,yes,yes,no
90,95,5,no,yes,no,yes
87,75,-12,partial,yes,yes,no
59,67,8,yes,yes,no,no
78,84,6,yes,yes,yes,yes
95,97,2,yes,yes,yes,yes
78,85,7,partial,yes,yes,yes
43,63,20,yes,yes,yes,yes
33,26,-7,yes,yes,yes,yes
71,94,23,partial,yes,yes,yes
67,80,13,no,no,yes,yes
75,83,8,no,no,no,no
58,62,4,no,yes,yes,yes
41,32,-9,yes,yes,yes,yes
83,82,-1,no,yes,yes,yes
71,70,-1,yes,yes,yes,no
84,93,9,partial,yes,yes,yes
95,92,-3,partial,no,yes,yes
49,67,18,no,yes,yes,yes
47,69,22,partial,yes,yes,yes
53,79,26,yes,yes,yes,yes
92,93,1,partial,yes,yes,yes
67,77,10,partial,yes,yes,yes
47,66,19,yes,yes,yes,yes
83,90,7,yes,yes,yes,yes
90,92,2,yes,yes,yes,yes
92,94,2,yes,no,yes,no
97,91,-6,no,yes,yes,no
47,71,24,partial,yes,yes,no
90,90,0,partial,no,no,no
65,67,2,no,yes,yes,yes
58,66,8,yes,yes,yes,yes
43,74,31,no,yes,yes,yes
45,56,11,yes,yes,yes,yes
88,92,4,no,yes,yes,yes
68,68,0,no,yes,yes,yes
57,75,18,partial,yes,no,yes
98,93,-5,no,yes,yes,no
63,63,0,partial,yes,yes,yes
63,78,15,no,yes,yes,yes
68,66,-2,yes,yes,yes,yes
99,98,-1,yes,yes,yes,yes
68,54,-14,no,yes,yes,yes
79,93,14,yes,yes,yes,yes
83,89,6,partial,yes,yes,yes
52,82,30,no,yes,yes,yes
61,63,2,no,yes,no,yes
89,92,3,yes,yes,yes,yes
90,94,4,yes,yes,yes,yes
50,68,18,yes,yes,yes,yes
48,78,30,partial,yes,yes,yes
68,80,12,partial,yes,no,no
80,75,-5,partial,yes,yes,yes
97,95,-2,yes,yes,yes,no
63,69,6,yes,yes,yes,yes
81,89,8,yes,no,yes,yes
67,63,-4,yes,yes,yes,no
67,71,4,yes,yes,yes,yes
50,70,20,no,yes,yes,yes
42,76,34,partial,yes,yes,yes
76,68,-8,partial,yes,yes,yes
37,54,17,yes,yes,yes,no
75,79,4,partial,yes,yes,yes
92,91,-1,no,yes,no,yes
73,94,21,partial,yes,yes,no
85,79,-6,yes,yes,yes,no
68,87,19,yes,yes,yes,no
100,94,-6,no,no,yes,no
98,95,-3,yes,yes,yes,yes
93,93,0,partial,yes,yes,yes
98,92,-6,partial,yes,yes,yes
60,74,14,yes,yes,no,no
71,74,3,partial,yes,yes,yes
64,77,13,yes,no,yes,no
58,57,-1,partial,yes,yes,yes
66,80,14,no,yes,yes,yes
58,66,8,yes,yes,yes,yes
